video;tipo_analise;qps;escala;altura;largura;tempo_decorrido
Vídeo 01;Vídeo Original;25;1;1080;1920;21.615206241607666
Vídeo 01;Resolução Menor;25;0.25;270;480;28.8164222240448
Vídeo 01;Resolução Maior;25;1.5;1620;2880;33.99486041069031
Vídeo 01;Taxa Maior;400;1;1080;1920;13.75083065032959
Vídeo 01;Taxa Menor;10;1;1080;1920;54.096031188964844
Vídeo 02;Vídeo Original;25;1;1080;1920;19.36175513267517
Vídeo 02;Resolução Menor;25;0.25;270;480;25.953965187072754
Vídeo 02;Resolução Maior;25;1.5;1620;2880;29.086795568466187
Vídeo 02;Taxa Maior;400;1;1080;1920;11.235768795013428
Vídeo 02;Taxa Menor;10;1;1080;1920;46.267433881759644
